date,event
2019-01-10,Mapathon à Paris
2019-01-22,Mapathon à Lyon
2019-01-23,Mapathon à Saint-Etienne
2019-01-30,Mapathon à Chambéry
2019-02-06,Mapathon à Grenoble
2019-02-12,Mapathon à Lyon
2019-03-07,Mapathon à Paris
2019-03-12,Mapathon à Lyon
2019-03-19,Mapathon à Paris
2019-03-27,Mapathon à Chambéry
2019-03-27,Mapathon à Ambérieux
2019-04-05,Nuit de la Géo
2019-04-23,Mapathon à Lyon
2019-05-07,Mapathon à Paris
2019-05-09,Mapathon à Paris
2019-05-15,Mapathon à Grenoble
2019-05-21,Mapathon à Lyon
2019-05-21,Mapathon à Alès
2019-05-22,Mapathon à Grenoble
2019-05-28,Mapathon à Chambéry
2019-06-08,Mapathon à Pau
2019-06-18,Mapathon à Lyon
